State,ISO,1. Are countermeasures a part of customary international law?,2. Can cyber operations be employed as countermeasures?,2a. May a state take cyber countermeasures in response to non-cyber related breaches of international law?  ,2b. May a state take non-cyber countermeasures in response to a cyber operation that constitutes an internationally wrongful act? ,3. May countermeasures be taken only for the purpose of inducing a responsible state to comply with its international obligations?,4. May countermeasures directly achieve compliance by the targeted state with its international legal obligation?,"5. Can there be other purposes for countermeasures i.e., punishment? ",6. Must a state exhaust lesser means of inducement prior to resorting to countermeasures? ,7. Must the target of countermeasures be state organs or infrastructure? ,8. May countermeasures be taken against non-state actors? ,9. May a countermeasure against a responsible state involve the breach of an international legal obligation owed to a third state or other party? ,9a. 9a. Is there a de minimis exception where countermeasures impact third parties or third states’ international rights? ,10. May countermeasures involve the use of force? ,"10a. 10a. If the original intentionally wrongful act is a use of force that does not constitute an armed attack, can a state’s responsive countermeasures involve a proportionate use of force that also does not rise to the level of an armed attack? ",11. Are the wrongfulness of measures characterized as countermeasures precluded if taken based on a reasonable mistake that the targeted state was in breach of an applicable international legal obligation? ,12. May countermeasures be taken in anticipation of an internationally wrongful act? ,"13. Are countermeasures precluded if the precedent internationally wrongful act has ceased, is unlikely to be repeated, and assurances or guarantees, where appropriate have been provided? ",14. Must countermeasures be reversible in their effects?  ,"14a. If yes, is this requirement subject to feasibility? ","14b. If yes, must a state considering the employment of countermeasures opt for the most reversible measure? ",15. May a state take countermeasures if the dispute in question is pending before a court or tribunal with jurisdiction to issue a binding decision in the matter and the internationally wrongful act has ceased? ,16. May countermeasures involve the violation of peremptory norms of international law? ,"17. May countermeasures involve the violation of non-peremptory, “fundamental” human rights? ",18. May countermeasures be taken that amount to belligerent reprisals? ,19. May countermeasures infringe on diplomatic or consular inviolability? ,20. Can states resort to collective countermeasures? ,20a. Generally? ,20b. Only in a cyber context? ,21. May a non-injured state provide assistance to an injured state’s countermeasures? ,22. May a state party to a multilateral treaty breached by a responsibly state take countermeasures if it is not directly injured by the breach? ,23. May a state take countermeasures against a breach of an erga omnes obligation if not directly injured? ,24. Are there procedural and substantive conditions that must be met before countermeasures can be taken?,24a. Must an injured state first call upon the responsible state to cease its internationally wrongful act and/or fulfil its obligations arising from its breach prior to employing countermeasures?,24.a.i. Is this procedural requirement absolute?,24b. Must an injured state notify the responsible state of its intent to employ countermeasures in order to give the responsible state a chance to cease its wrongful actions prior to taking countermeasures?,24.b.i.  Is this procedural requirement absolute?,24c. Must an injured state offer to negotiate with the responsible state prior to taking countermeasures?,24.c.i. May an injured state take countermeasures while in negotiations with the responsible state?,24d. Must countermeasures in cyber be proportional to the need to return the responsible state to compliance with international law?
African Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia ,AUS,Yes,Yes,Yes,Yes,Yes,Not Discussed,Not discussed,Ambiguity,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Yes
Austria,AUT,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Bolivia ,BOL,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Brazil,BRA,Yes,Ambiguity,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Canada,CAN,Yes,Yes,Yes,Yes,Yes,Yes,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,No,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,,No,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Ambiguity ,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Chile,CHL,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
China,CHN,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Denmark,DNK,Yes,Yes,Yes,Yes,Yes,Yes,Not discussed,Not discussed,Ambiguity,Yes,Not Discussed,Not discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Yes,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Ambiguity,Ambiguity,Not Discussed,Yes,Not discussed,Not discussed,Yes,No,Not discussed,Not discussed,Not discussed
Ecuador,ECU,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Estonia,EST,Yes,Yes,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Ambiguity,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Yes,Not Discussed,Not Discussed,Yes,Ambiguity,Ambiguity ,Ambiguity ,ambiguity,Ambiguity,ambiguity,Yes
European Union,EUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Yes,Yes,Not Discussed,Not discussed,Yes,No ,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Not Discussed,No,,No,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Ambiguity ,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Yes
France,FRA,Yes,Yes,Not Discussed,Yes,Yes,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,No,Yes,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Yes,Not discussed,Not discussed,Yes,No,Not discussed,Not discussed,Not discussed
Germany ,DEU,Yes,Yes,Yes,Yes,Yes,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Ambiguity ,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Yes
Guyana ,GUY,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Guatemala,GTM,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Iran,IRN,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed
Ireland,IRL,Yes,Ambiguity,Ambiguity,Yes,Ambiguity,Not Discussed,Ambiguity,Not discussed,Yes,No,Not Discussed,Not discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Ambiguity,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not discussed,Not Discussed,Not Discussed,Yes,Yes,No,Ambiguity,Not Discussed,Not Discussed,Ambiguity ,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Yes
