State,ISO,1. Is the prohibition of non-intervention a norm of customary international law?,2. Is the scope of the principle of non-intervention uncertain?,  3. Does the prohibition of non-intervention apply to cyber-operations? ,  4. Is coercion a constituent element of prohibited intervention? ,  4.1   Is coercion limited to the employment of physical force? ,  4.2   Can dictatorial demands or acts of compulsion or imposition constitute coercion?,4.3   Does the deprivation of a State’s ability to control matters within its domaine réservé amount to coercion? ,  4.4   Does coercion extend to any affirmative acts designed to deprive another state of its freedom of choice with regard to a matter of protected sovereign prerogative? ,4.5 Must there be a causal nexus between the responsible state’s actions/efforts and the effects on the target state’s internal or external affairs?,4.6 Can attempts to coerce an outcome amount to prohibited intervention?,4.7   Is intent a constituent element of coercion?,"4.8 Must the action(s) constituting coercion be designed/intended to influence outcomes in, or conduct with respect to, a matter of protected sovereign prerogative?",4.9   Can coercion be indirect?,4.10   Must the target state have knowledge of the coercive cyber operation constituting the purported intervention?,  5. Does intervention include forms of persuasion or propaganda?   ,  6. Is there a de minimis exception to the prohibition?  ,"  7. Must the intervention be directed at matters over which the victim state is permitted by the principle of sovereignty, to decide freely? ",7.1   Does the zone of protected sovereign prerogatives include only internal affairs? ,7.2   Does the prohibition proscribe intervention in a state’s external (foreign) affairs? ,7.3   Is the zone of protected sovereign prerogatives referred to as domaine réservé? ,"  7.4   Is the domaine réservé limited to matters involving the state’s choice of a political, economic, social, and cultural system, and the formulation of foreign policy? ",  7.5   Does international law regulation over a matter of sovereign prerogative remove it from the domaine réservé?  ,7.6   Is critical infrastructure part of the domaine réservé?  ,  7.7   Are elections part of the domaine réservé? ,7.8   Is the operation of legislatures a part of the domaine réservé?  ,  7.9  Is financial system stability part of the domaine réservé?  ,  7.10  Are medical services part of the domaine réservé?  
African Union,AU,Yes,No,Yes,Yes,No,Yes,Ambiguous,Yes,Silent,Yes,Silent,Yes,Yes,Silent,Ambiguous,Silent,Yes,No,Yes,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Australia ,AUS,Yes,Silent,Yes,Yes,No,Silent,Yes,Yes,Silent,Yes,Ambiguous,Ambiguous,Yes,Silent,Silent,Silent,Yes,No,Yes,No,Silent,Silent,Ambiguous,Yes,Yes,Yes,Silent
Austria,AUT,Yes,Silent,Yes,Yes,No,Yes,Ambiguous,Yes,Silent,Yes,Ambiguous,Yes,Silent,Silent,Yes,Silent,Yes,No,Yes,Yes,Ambiguous,Silent,Silent,Yes,Silent,Silent,Silent
Bolivia ,BOL,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Brazil,BRA,Yes,Silent,Yes,Yes,Ambiguous,Silent,Ambiguous,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,No,Yes,No,Silent,Silent,Silent,Yes,Silent,Silent,Silent
Canada,CAN,Yes,Yes,Yes,Yes,Ambiguous,Yes,Silent,Yes,Yes,No,No,Ambiguous,Silent,Silent,No,Silent,Yes,No,Yes,Yes,Silent,Silent,Yes,Yes,Silent,Silent,Silent
Chile,CHL,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
China,CHN,Ambiguous,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Colombia,COL,Yes,Silent,Yes,Yes,No,Yes,Yes,Ambiguous,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes,No,Yes,Yes,Ambiguous,Silent,Ambiguous,Yes,Ambiguous,Ambiguous,Ambiguous
Costa Rica,CRI,Yes,Silent,Yes,Yes,No,Ambiguous,Silent,Yes,Silent,Yes,Ambiguous,Yes,Yes,Silent,Yes,Silent,Yes,No,Yes,Yes,Ambiguous,Silent,Yes,Yes,Silent,Yes,Yes
