State,ISO,Does Article 51 of the UN Charter apply in the cyber context?,Do States have a right of self-defense in the cyber context as a matter of customary international law independent of the obligations assumed under Article 51 of the UN Charter?,Is the scope of any independent right of self-defense co-extensive with the obligations assumed under Article 51 of the UN Charter,Does a State’s right of self-defense apply to actions conducted by non-state actors acting without the involvement of another State(s)?,Is the right of self-defense triggered solely if an armed attack is attributable to a State according to the applicable rules of customary international law of State responsibility?,Can a State  exercise self-defense on the basis that the territorial state would be “unwilling and unable” to repress non-state actors whose cyber operations have extraterritorial effects that would rise to the level of an armed attack if conducted by a State?,Is the exercise of the right of self-defense subject to the principle of necessity?,Must force be the only option available to successfully repel and armed attack under the right of self-defense?,Is the exercise of the right of self-defense subject to the principle of proportionality?,Is the exercise of the right of self-defense subject to the principle of imminence?,Is the exercise of the right of self-defense subject to the principle of immediacy?,Do States have a right of anticipatory or pre-emptive self-defense?,Do States have a right to preventative self-defense?,Must a cyber operation involve the use of a weapon or weapons to qualify as an armed attack?,Can a cyber operation alone constitute an armed attack for purposes of triggering the right of self-defense?,Must a decision that a cyber operation constitute an armed attack triggering a right of self-defense be made on a case-by-case basis or by considering all the circumstances?,Can a cyber operation qualify as an armed attack under article 51 of the UN Charter if the effects generated are comparable to effects resulting from an action that would otherwise qualify as an armed attack?,Must a cyber operation involve consequences of a certain scale and effects to qualify as an attack?,"Must a cyber operation cause some level of death or injury to persons, or damage or destruction to property, to qualify as an armed attack?",Can any unlawful cyber use of force in violation of Art. 2(4) of the UN Charter trigger a State’s right of self-defense?,Do only the most grave uses of force qualify a cyber operation as an armed attack triggering a State’s right of self-defense?,Can losses of functionality from a cyber operation without accompanying death or injury or damage or destruction to property constitute an armed attack?,"Can cyber operations producing significant economic effects such as the collapse of a State’s financial system, or the degradation of parts of its economy or critical infrastructure qualify as an armed attack?",Can cyber operations that individually fall below the threshold of an armed attack aggregate into an armed attack triggering the right of self-defense?,Must the State or entity conducting a cyber operation intend to cause harms that qualify the operation as an armed attack to trigger a right of self-defense in the State that is attacked?,Must the State or entity conducting a cyber operation produce reasonably foreseeable harms qualifying the operation as an armed attack to trigger a right of self-defense in the State that is attacked?,Can cyber operations causing harms sufficient to qualify the operation as an armed attack trigger a third State’s right of self-defense if it was not the target of those operations?,Can non-affected States exercise collective self-defense in response to a cyber operation or operations constituting an armed attack against an affected State?,Must a State exercising collective self-defense in response to a cyber operation(s) constituting an armed attack have the victim state request or consent to such actions?,"In its response to a cyber operation or operations qualifying as an armed attack, is the injured state limited to cyber means in response?",Must a State employing the right of self-defense in response to a cyber operation or operations constituting an armed attack report its actions to the UN Security Council?,5(a) Must force be the only option available to successfully repel an armed attack under the right of self-defense?
African Union,AU,Yes,Silent,Silent,No,Yes,Silent,Silent,Silent,Silent,Ambiguous,Silent,Ambiguous,Silent,Silent,Yes,Yes,Yes,Yes,Ambiguous,No,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,
Australia,AUS,Yes,Yes,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Silent,Yes,Silent,Silent,Yes,Silent,Yes,Yes,No,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,No,Yes,
Austria,AUT,Yes,Yes,Silent,Yes,No,Yes,Yes,Silent,Yes,Yes,Silent,Yes,Silent,No/Silent?,Yes,Yes,Yes,Yes,Ambiguous,No,Yes,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Silent,No,Yes,
Belgium,BEL,Yes,Silent,Silent,Silent,Silent,Silent,Yes,,Yes,Ambiguous,Ambiguous,Silent,Silent,No,Yes,Silent,Yes,Yes,Yes,No,Ambiguous,No,Silent,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent
Bolivia,BOL,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Brazil,BRA,Yes,Yes,Silent,No,Yes,No,Yes,Silent,Yes,Yes,Silent,Yes,No,Silent,Yes,Silent,Yes,Silent,Silent,No,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,
Canada,CAN,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Ambiguous,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,No,Silent,
Chile,CHL,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Yes,Silent,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,
China,CHN,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Colombia,COL,Yes,Yes,Yes,,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Yes,
