suggested_filename,used_in_topics,used_count,example_entities,pincite_preview,original_url,,
01_unga-official-compendium-of-voluntary-national-contributions.pdf,selfdefense,47,Netherlands,Romania,Russian Federation,UNGA Official Compendium of Voluntary National Contributions,https://tuprd.sharepoint.com/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/GGE/UN_-Official-compendium-of-national-contributions-on-how-international-law-applies-to-use-of.pdf
02_international-law-applied-to-operations-in-cyberspace-paper.pdf,nonintervention,sovereignty,22,France,International Law Applied to Operations in Cyberspace: Paper shared by France wi,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/France/France_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=D0XpLe,
03_italian-position-paper-on-international-law-and-cyberspace.pdf,selfdefense,20,Italy,Italian Position Paper on International Law and Cyberspace,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Italy/Italy_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=uLarpe,,
04_position-paper-of-germany-on-the-application-of-internationa.pdf,selfdefense,18,Germany,"Position Paper of Germany on the Application of International Law in Cyberspace,",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Germany/Germany_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=gvGjQ3,,
05_unga-official-compendium-of-voluntary-national-contribution.pdf,selfdefense,17,Brazil,UNGA Official Compendium of Voluntary National Contribution,https://tuprd.sharepoint.com/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Brazil/UNGA%20Official%20Compendium%20of%20Voluntary%20National%20Contributions(2021).pdf?CID=b36d6b07-0f1d-4d0a-a113-a36611671044,,
06_norwegian-positions-on-selected-questions-of-international-l.pdf,selfdefense,16,Norway,Norwegian Positions on Selected Questions of International Law Relating to Cyber,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Norway/Norway%20(2021).pdf?csf=1&web=1&e=thG62a,,
07_switzerlands-position-paper-on-the-application-of-internatio.pdf,selfdefense,16,Switzerland,Switzerland's position paper on the application of international law in cyberspa,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Switzerland/Switzerland%27s-statement.pdf?csf=1&web=1&e=qdmHVd,,
08_polands-position-on-the-application-of-international-law-in.pdf,selfdefense,15,Poland,"Poland’s Position on the Application of International Law in Cyberspace, pg.",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Poland/Poland’s_position%20(2022).pdf?csf=1&web=1&e=agMh8n,,
09_denmarks-position-paper-on-the-application-of-international.pdf,selfdefense,14,Denmark,"Denmark’s Position Paper on the Application of International Law in Cyberspace,",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Denmark/Jul.%202023%20Denmark%20position%20paper.pdf?csf=1&web=1&e=g3DPvQ,,
10_eu-council-declaration-on-a-common-understanding-of-internat.pdf,selfdefense,14,European Union,EU Council Declaration on a Common Understanding of International Law in Cybersp,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/European%20Union/EU%20Council%20Declaration%20on%20a%20Common%20Understanding%20of%20International%20Law%20in%20Cyberspace%20(2024).pdf?csf=1&web=1&e=TiNbZc,,
11_international-law-and-cyberspace-finlands-national-positions.pdf,selfdefense,14,Finland,France,International Law and Cyberspace: Finland’s National Positions,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Finland/Finland%20Statements.pdf?csf=1&web=1&e=IeB5Tf,
12_position-paper-of-france-on-international-law-applied-to-ope.pdf,selfdefense,14,France,Position Paper of France on International Law Applied to Operations in Cyberspac,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/France/France_International%20Law%20and%20Cyberspace.pdf?csf=1&web=1&e=esjo0U,,
13_israels-perspective-on-key-legal-and-practical-issues-concer.pdf,selfdefense,14,Israel,Israel’s Perspective on Key Legal and Practical Issues Concerning the Applicatio,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Israel/Israel%20(2020).pdf?csf=1&web=1&e=CyI2iZ,,
14_thailands-national-position-on-the-application-of-internatio.pdf,selfdefense,14,Thailand,Thailand’s National Position on the Application of International Law in Cyberspa,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Thailand/Thailand%20(2025).pdf?csf=1&web=1&e=Ndqd7q,,
15_uk-application-of-international-law-to-states-conduct-in-cybers.pdf,selfdefense,14,United Kingdom,Application of international law to state’s conduct in cyberspace: UK statement,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/United%20Kingdom/United%20Kingdom_2021%20Policy%20Paper_Application%20of%20international%20law%20to%20states’%20conduct%20in%20cyberspace.pdf?csf=1&web=1&e=E5ah65,,
16_ireland-position-paper-on-the-application-of-international-l.pdf,selfdefense,13,Ireland,Ireland Position Paper on the Application of International Law in Cyberspace,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Ireland/Ireland%20(2023)%20National-Position-Paper.pdf?csf=1&web=1&e=NgmrTg,,
17_new-zealand-the-application-of-international-law-to-state-ac.pdf,selfdefense,13,New Zealand,"New Zealand, The Application of International Law to State Activity in Cyberspac",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/New%20Zealand/New%20Zealand%20Statement%20(2020).pdf?csf=1&web=1&e=iczbyp,,
18_swedens-position-paper-on-the-application-of-international-l.pdf,selfdefense,13,Sweden,Sweden’s Position Paper on the Application of International Law in Cyberspace,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Sweden/swedens-position-paper-on-the-application-of-international-law-in-cyberspace.pdf?csf=1&web=1&e=2GIU3a,,
19_ecuador-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,sovereignty,12,Ecuador,OAS Inter-American Juridical Committee Questionnaire - Response by Ecuador,https://tuprd.sharepoint.com/:b:/s/iLITHome/IQCnwd0Jqcv_QqwRRxQs5NbrAcGo4Q-lORKcLhHJ8y3ol3w?email=michellexin%40temple.edu&e=M43Dw5,
20_oas-survey-response-submitted-by-peru.pdf,selfdefense,12,Peru,OAS Survey Response Submitted by Peru,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/OAS%20Survey%20Responses/Response%20by%20Peru.%20EN.def.pdf?csf=1&web=1&e=3OkBc2,,
21_chile-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,sovereignty,11,Chile,OAS Inter-American Juridical Committee Questionnaire - Response by Chile,https://tuprd.sharepoint.com/:w:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Chile/Response%20by%20Chile.%20EN%20(1).DOCX?d=w88cf4e2dd83649f199b19e1fe85fe80c&csf=1&web=1&e=zsyWB2,
22_position-paper-of-the-republic-of-cuba-on-the-application-of.pdf,selfdefense,sovereignty,11,Cuba,Position Paper of the Republic of Cuba on the Application of International Law t,https://tuprd.sharepoint.com/:w:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Cuba/Spanish%20to%20English%20Translation%20of%20Cuba%20National%20Position%20(2024).docx?d=w1ab3da0163084f429ac48954540bb9c8&csf=1&web=1&e=gBGGLM,
23_national-position-of-the-republic-of-korea-on-the-applicatio.pdf,selfdefense,11,Korea,National Position of the Republic of Korea on the Application of International L,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Korea/Republic%20of%20Korea%20(2025).pdf?csf=1&web=1&e=hMiuk6,,
24_bolivia-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,sovereignty,10,Bolivia,"OAS Inter-American Juridical Committee Questionnaire - Response by Bolivia, pg. ",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Bolivia/Response%20by%20Bolivia.%20EN.pdf?csf=1&web=1&e=4V9maU,
25_guatemala-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,sovereignty,10,Guatemala,"OAS Inter-American Juridical Committee Questionnaire - Response by Guatemala,",https://tuprd.sharepoint.com/:b:/s/iLITHome/IQB4YKxILhNXRbJ9aFhKfJdmAWzS30azdTM0p3yN4X5Wm3Q?email=michellexin%40temple.edu&e=XXzowV,
26_2024-czech-republic-position-paper-on-the-application-of-il.pdf,uof,10,Czech Republic,"2024 Czech Republic_Position_paper_on_the_application_of_IL_cyberspace,",https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Czech%20Republic/2024%20Czech%20Republic_Position_paper_on_the_application_of_IL_cyberspace.pdf?csf=1&web=1&e=cIyRBp,,
27_australia-statement-website-annex-b-australias-position-on-h.pdf,selfdefense,10,Australia,"Australia Statement Website, Annex B: Australia’s position on how international ",https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Australia/Australia%20Statement%20Annex%20B%20(2020).pdf?csf=1&web=1&e=MIi3Nd,,
28_unga-official-compendium-of-voluntary-natl-contributions.pdf,selfdefense,10,Estonia,UNGA Official Compendium of Voluntary Nat’l Contributions,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Estonia/UNGA%20Official%20Compendium%20of%20Voluntary%20National%20Contributions%20(2021).pdf,,
29_guyana-oas-inter-american-juridical-committee-questionnaire.pdf,selfdefense,sovereignty,9,Guyana,OAS Inter-American Juridical Committee Questionnaire - Response by Guyana,https://tuprd.sharepoint.com/:b:/r/sites/iLITHome/iLIT%20Student%20Researchers/Global%20Cyber%20Law/National%20Cyber%20Statements/Source%20Materials/OAS%20Survey%20Responses/Guyana%20response.%20EN.PDF?csf=1&web=1&e=Gb4J0h,
30_thailands-national-position-on-the-application-of-internatio.pdf,uof,9,Thailand,Thailand’s National Position on the Application of International Law in Cyberspa,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Thailand/Thailand%20(2025).pdf?csf=1&web=1&e=CmZqnO,,
31_national-position-of-the-republic-of-korea-on-the-applicatio.pdf,uof,7,The Republic of Korea,National Position of the Republic of Korea on the Application of International L,https://tuprd-my.sharepoint.com/:b:/r/personal/tup46628_temple_edu/Documents/iLIT%20Projects/iLIT%20RA%20Files/Working%20Folders%20%5BActive%20Projects%5D/Cyber/National%20Cyber%20Statements/Source%20Materials/National%20Statements/Korea/Republic%20of%20Korea%20(2025).pdf?csf=1&web=1&e=vxaVEm,,
