Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
African Union,0,0,0,0,0,0,0,0,1,1,,
Australia,0,0,0,1,1,1,1,1,1,1,,
Austria,0,0,0,0,1,1,1,1,1,1,,
Bolivia,0,0,0,0,1,1,1,1,1,1,,
Brazil,0,0,0,0,0,1,1,1,1,1,,
Canada,0,0,0,0,0,0,1,1,1,1,,
Chile,0,0,1,1,1,1,1,1,1,1,,
China,0,0,0,0,0,1,1,1,1,1,,
Costa Rica,0,0,0,1,1,1,1,1,1,1,,
Czechia,0,0,0,0,1,1,1,1,1,1,,
Denmark,0,0,0,0,0,0,0,1,1,1,,
Ecuador,0,0,0,1,1,1,1,1,1,1,,
Estonia,0,0,0,1,1,1,1,1,1,1,,
Finland,0,0,0,0,1,1,1,1,1,1,,
France,0,0,0,0,0,1,1,1,1,1,,
Germany,0,0,0,0,0,1,1,1,1,1,,
Guatemala,0,0,0,1,1,1,1,1,1,1,,
Guyana,0,0,0,1,1,1,1,1,1,1,,
Iran,0,0,0,0,1,1,1,1,1,1,,
Ireland,0,0,0,0,0,0,0,1,1,1,,
Israel,0,0,0,0,1,1,1,1,1,1,,
Italy,0,0,0,0,0,1,1,1,1,1,,
Japan,0,0,0,0,0,1,1,1,1,1,,
Kazakhstan,0,0,0,0,0,1,1,1,1,1,,
Kenya,0,0,0,0,0,1,1,1,1,1,,
Netherlands,0,0,0,1,1,1,1,1,1,1,,
New Zealand,0,0,0,0,1,1,1,1,1,1,,
Norway,0,0,0,0,0,1,1,1,1,1,,
Pakistan,0,0,0,0,0,0,0,1,1,1,,
Peru,0,0,0,0,1,1,1,1,1,1,,
Poland,0,0,0,0,0,0,1,1,1,1,,
Romania,0,0,0,0,0,1,1,1,1,1,,
Russia,0,0,0,0,0,1,1,1,1,1,,
Singapore,0,0,0,0,0,1,1,1,1,1,,
Sweden,0,0,0,0,0,0,1,1,1,1,,
Switzerland,0,0,0,0,0,1,1,1,1,1,,
United Kingdom,0,0,1,1,1,1,1,1,1,1,,
United States,1,1,1,1,1,1,1,1,1,1,,
Colombia,0,0,0,0,0,0,0,0,0,1,,
Cuba,0,0,0,0,0,0,0,0,1,1,,
Czechia,0,0,0,0,0,0,0,0,1,1,,
Republic of Korea,0,0,0,0,0,0,0,0,0,1,,
Thailand,0,0,0,0,0,0,0,0,0,1,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,,
Albania,0,0,0,0,0,0,0,0,0,0,,
Algeria,0,0,0,0,0,0,0,0,0,0,,
Andorra,0,0,0,0,0,0,0,0,0,0,,
Angola,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,,
Argentina,0,0,0,0,0,0,0,0,0,0,,
Armenia,0,0,0,0,0,0,0,0,0,0,,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,,
Bahamas,0,0,0,0,0,0,0,0,0,0,,
Bahrain,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,0,0,0,0,0,0,0,0,0,0,,
