State,ISO,1. Does prohibition of use of force apply to cyber operations?,1.1 Can a stand-alone cyber operation violate the prohibition on the use of force?,2. Must a State intend for a cyber operation to amount to a use of force for there to be a violation of the prohibition on the use of force?  ,2.1 Must the cyber operation have a coercive character (or effect) to qualify as a use of force?,3. Does the State apply a “scale and effects” test to assess whether an action constitutes a use of force? ,4. Does the state apply a totality of circumstances or similar context-based test to assess uses of force? ,5. Does the state weigh the actual consequences of an action to assess whether it amounts to a use of force? ,"6. Does the State only recognize a use of force in cyber contexts by analogy to consequences caused by kinetic force (e.g., injury, death, damage or destruction)?",6.1 Are kinetic-like effects a required consequence of a cyber operation to qualify as a use of force (versus a factor among others to be considered)?    ,6.2 Does the State recognize a “small” or de minimus effects exception to the prohibition on the use of force?    ,"6.3 Can non-violent effects alone qualify as “force” (e.g., substantial economic harm, losses of functionality, etc.)?   ","6.4 Can spill over effects from a cyber operation (i.e., those that are secondary or knock-on from the immediate effects) qualify as a use of force?",7. Does the State recognize an accumulation theory or similar aggregation theory of use of force?,8. Does the State consider a use of force to be the equivalent of an armed attack (per Article 51 of the UN Charter) subject to the same threshold?    ,9. Can a cyber operation amount to a prohibited threat of a use of force?    
African Union,AU,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,No,Ambiguous
Australia ,AUS,Yes,Yes,Ambiguous,Silent,Yes,Ambiguous,Yes,Yes,No,Silent,Yes,Yes,Silent,Ambiguous,Ambiguous
Austria,AUT,Yes,Yes,Silent,Ambiguous,Yes,Ambiguous,Yes,No,No,Silent,Yes,Ambiguous,Silent,No,Yes
Bolivia ,BOL,Yes,Yes,Silent,Silent,Silent,Silent,Yes,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent
Brazil,BRA,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,No,Silent
Canada,CAN,Yes,Yes,Silent,Silent,Yes,Yes,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,No,Yes
Chile,CHL,Yes,Yes,Silent,Silent,Yes,Silent,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Ambiguous,Silent
China,CHN,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes
Colombia,COL,Yes,Yes,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes
Costa Rica,CRI,Yes,Yes,Silent,Silent,Ambiguous,Yes,Ambiguous,No,Ambiguous,Silent,Yes,Silent,Silent,No,Ambiguous
Cuba,CUB,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Ambiguous,Silent,No,No,No,Silent,Silent,No,Silent
Czech Republic,CZE,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Silent,Ambiguous,Silent,Yes,Silent,Silent,Yes,Yes
Denmark,DNK,Yes,Yes,Silent,Ambiguous,Yes,Yes,Yes,Ambiguous,No,Silent,Silent,Yes,Silent,No,Yes
Ecuador,ECU,Yes,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Estonia,EST,Yes,Ambiguous,Silent,Silent,Yes,Silent,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Silent,Yes
European Union,EUN,Yes,Yes,Silent,Silent,Yes,Silent,Silent,Ambiguous,Ambiguous,Silent,Silent,Silent,Yes,No,Silent
Finland,FIN,Yes,Yes,Silent,Silent,Ambiguous,Ambiguous,Yes,Silent,Ambiguous,Silent,Silent,Silent,Silent,No,Yes
France,FRA,Yes,Yes,Silent,Silent,Silent,Yes,Ambiguous,No,No,Silent,Yes,Silent,Yes,No,Yes
Germany ,DEU,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,No,Silent
Guatemala,GTM,Yes,Yes,Ambiguous,No,Ambiguous,Silent,Yes,No,No,Ambiguous,Ambiguous,Ambiguous,Silent,Yes,Yes
Guyana ,GUY,Ambiguous,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent
Iran,IRN,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Ambiguous,No,Silent,Ambiguous,Silent,Silent,Silent,Silent
Ireland,IRL,Yes,Yes,Silent,Silent,Yes,Silent,Yes,No,No,Silent,Yes,Silent,Silent,No,Ambiguous
Israel,ISR,Yes,Yes,Ambiguous,Silent,Silent,Silent,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,No,Yes
Italy,ITA,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Yes,Ambiguous,Silent,Ambiguous,Silent,Silent,Silent,Silent
Japan,JPN,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Yes
Kazakhstan,KAZ,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Kenya,KEN,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Republic of Korea,KOR,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Silent,No,Silent
Netherlands,NLD,Yes,Yes,Silent,Silent,Yes,Yes,Yes,No,No,Silent,Yes,Silent,Silent,No,Silent
