Question,AU,AUS,AUT,BOL,BRA,CAN,CHL,CHN,COL,CRI,CUB,CZE,DNK,ECU,EST,EUN,FIN,FRA,DEU,GTM,GUY,IRN,IRL,ISR,ITA,JPN,KAZ,KEN,KOR,NLD,NZL,NOR,PAK,PER,POL,ROU,RUS,SGP,SWE,CHE,THA,GBR,USA
1. Does prohibition of use of force apply to cyber operations?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ambiguous,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ambiguous,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ambiguous,Yes,Yes,Yes,Yes,Yes,Yes
1.1 Can a stand-alone cyber operation violate the prohibition on the use of force?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Silent,Yes,Yes,Ambiguous,Yes,Yes,Silent,Ambiguous,Yes,Yes,Yes,Yes,Yes,No,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Yes,Silent,Yes,Yes,Yes,Silent,Silent,Yes,Ambiguous,Yes,Yes,Yes
2. Must a State intend for a cyber operation to amount to a use of force for there to be a violation of the prohibition on the use of force?  ,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous
2.1 Must the cyber operation have a coercive character (or effect) to qualify as a use of force?,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
3. Does the State apply a “scale and effects” test to assess whether an action constitutes a use of force? ,Yes,Yes,Yes,Silent,Silent,Yes,Yes,Silent,Silent,Ambiguous,Silent,Yes,Yes,Silent,Yes,Yes,Ambiguous,Silent,Yes,Ambiguous,Silent,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Yes,Ambiguous,Yes,Ambiguous,No
4. Does the state apply a totality of circumstances or similar context-based test to assess uses of force? ,Yes,Ambiguous,Ambiguous,Silent,Silent,Yes,Silent,Silent,Ambiguous,Yes,Silent,Yes,Yes,Silent,Silent,Silent,Ambiguous,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Yes,Silent,Yes,Silent,Silent,Yes,Yes,Silent,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Yes
5. Does the state weigh the actual consequences of an action to assess whether it amounts to a use of force? ,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Silent,Silent,Ambiguous,Ambiguous,Yes,Yes,Silent,Yes,Silent,Yes,Ambiguous,Yes,Yes,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Yes,Silent,Yes,Silent,Yes,Yes,Yes,Silent,Yes,Silent,Ambiguous,Yes,Ambiguous,Yes
"6. Does the State only recognize a use of force in cyber contexts by analogy to consequences caused by kinetic force (e.g., injury, death, damage or destruction)?",Ambiguous,Yes,No,Silent,Ambiguous,Ambiguous,Ambiguous,Silent,Silent,No,Silent,Silent,Ambiguous,Silent,Ambiguous,Ambiguous,Silent,No,Ambiguous,No,Silent,Ambiguous,No,Ambiguous,Yes,Silent,Silent,Silent,Yes,No,No,No,Silent,Ambiguous,Silent,Ambiguous,Silent,No,Ambiguous,No,Yes,Ambiguous,Ambiguous
6.1 Are kinetic-like effects a required consequence of a cyber operation to qualify as a use of force (versus a factor among others to be considered)?    ,Ambiguous,No,No,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Ambiguous,No,Ambiguous,No,Silent,Ambiguous,Ambiguous,Ambiguous,No,Ambiguous,No,Silent,No,No,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,No,No,No,Silent,Ambiguous,Silent,Ambiguous,Silent,No,Ambiguous,Ambiguous,Ambiguous,Ambiguous,Ambiguous
6.2 Does the State recognize a “small” or de minimus effects exception to the prohibition on the use of force?    ,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous
